Word	Occurrences
,	4216
.	2465
a	1835
que	1723
de	1657
—	1427
o	1387
e	1320
não	698
do	673
da	642
se	464
com	441
para	424
Simão	363
em	346
ao	345
;	335
os	326
as	325
?	322
um	312
eu	306
é	302
!	291
uma	276
lhe	265
à	258
sua	248
seu	245
disse	240
me	240
...	238
Teresa	235
na	235
:	232
no	218
pai	213
Não	205
por	201
ela	200
O	198
como	193
A	187
ele	184
mas	183
mais	171
Mariana	167
minha	165
E	156
meu	144
dos	132
das	128
senhor	125
quando	119
Botelho	117
era	117
há	110
Eu	104
já	104
está	101
Se	97
coração	97
casa	94
filha	93
nem	92
João	91
foi	90
tinha	90
sem	88
ser	85
tem	84
vida	82
ou	81
anos	79
carta	78
amor	77
porque	77
!...	76
estava	75
ferrador	75
quem	75
Que	74
lá	73
senhora	72
tempo	72
Baltasar	70
Deus	70
dia	69
aqui	68
muito	68
senhoria	68
tu	68
menina	67
olhos	65
te	65
vossa	65
ainda	64
assim	64
sei	63
Viseu	62
mãe	61
corregedor	60
filho	59
seus	59
bem	58
convento	58
nos	58
Cruz	57
homem	57
onde	57
fora	55
?!	54
cá	54
respondeu	53
tua	53
aos	51
dois	51
mim	51
morte	51
outro	51
primo	51
teu	51
Albuquerque	50
ir	50
céu	49
tenho	49
às	49
Tadeu	48
hora	48
pela	48
D	47
Rita	47
esta	47
este	47
As	46
lágrimas	46
sobre	46
Pois	45
mulher	45
nas	45
ver	45
Mas	44
Porto	44
nada	44
si	44
É	44
depois	43
fidalgo	43
pelo	43
tudo	43
Coimbra	41
até	41
quarto	41
dinheiro	40
dizer	40
ia	40
mesmo	40
porta	39
mão	38
rapariga	38
tornou	38
alguns	37
sempre	37
vai	37
coisa	36
horas	36
quer	36
são	36
ter	36
agora	35
três	35
tão	35
cartas	34
fazer	34
noite	34
pode	34
Os	33
acadêmico	33
alma	33
entre	33
velho	33
vou	33
Manuel	32
alguma	32
amiga	32
contra	32
dizia	32
duas	32
exclamou	32
homens	32
nunca	32
posso	32
todas	32
vez	32
vezes	32
areeiro	31
dar	31
dum	31
juiz	31
morrer	31
pobre	31
prelada	31
sabe	31
antes	30
diz	30
isso	30
isto	30
num	30
palavras	30
pouco	30
suas	30
também	30
Domingos	29
algum	29
espírito	29
família	29
forca	29
fosse	29
outra	29
saiu	29
amigo	28
logo	28
moça	28
mundo	28
mãos	28
prima	28
voz	28
Quando	27
criados	27
dele	27
modo	27
pé	27
tinham	27
todos	27
comandante	26
dias	26
então	26
hei	26
preso	26
sou	26
Em	25
Já	25
ali	25
caminho	25
dela	25
deu	25
falar	25
irmã	25
menos	25
meses	25
podia	25
só	25
terra	25
Lisboa	24
Quem	24
aquela	24
daquele	24
duma	24
estou	24
fez	24
meus	24
seria	24
tal	24
viver	24
aquele	23
boa	23
criada	23
desgraça	23
enquanto	23
marido	23
porém	23
sangue	23
viu	23
vá	23
Como	22
Isto	22
atalhou	22
cada	22
entrou	22
eram	22
estas	22
janela	22
justiça	22
passos	22
queria	22
rosto	22
verdade	22
vontade	22
Por	21
anjo	21
braços	21
comigo	21
dizendo	21
grande	21
luz	21
mal	21
ninguém	21
nome	21
ouviu	21
quiser	21
Coutinho	20
dava	20
desta	20
dez	20
esperança	20
infeliz	20
primeira	20
prioresa	20
quero	20
sabia	20
tanto	20
vinha	20
Aire	19
Ao	19
CAPÍTULO	19
Castro-d	19
Então	19
Está	19
Um	19
daquela	19
destino	19
faz	19
gente	19
história	19
hoje	19
melhor	19
replicou	19
saber	19
senão	19
toda	19
Meu	18
No	18
Vila-Real	18
cabeça	18
conta	18
dentro	18
desse	18
esperanças	18
estar	18
mesma	18
mosteiro	18
numa	18
palavra	18
ponto	18
quatro	18
sair	18
sim	18
égua	18
Agora	17
Era	17
Isso	17
Para	17
Senhor	17
ano	17
cavalo	17
condenado	17
degredo	17
deste	17
devia	17
escrever	17
esposa	17
freira	17
honra	17
parte	17
seguinte	17
seja	17
teve	17
ti	17
Ainda	16
Depois	16
Foi	16
Monchique	16
aí	16
cárcere	16
doutor	16
dá	16
esperar	16
ficar	16
mestre	16
nossa	16
pelos	16
pessoa	16
qual	16
será	16
uns	16
última	16
Ora	15
cadeia	15
causa	15
certo	15
chamar	15
criado	15
daqui	15
diga	15
disse-lhe	15
eles	15
essa	15
lado	15
mandou	15
medo	15
outras	15
paixão	15
pedir	15
perguntou	15
presença	15
resposta	15
tivesse	15
Aqui	14
De	14
Tenho	14
algumas	14
bom	14
braço	14
companhia	14
continuou	14
dezoito	14
doente	14
idéia	14
lho	14
mil	14
neste	14
nós	14
passo	14
primeiro	14
quintal	14
razão	14
tio	14
todo	14
vem	14
vi	14
vir	14
Preciosa	13
Tu	13
apenas	13
crime	13
cunhado	13
embora	13
entrar	13
escreveu	13
esse	13
face	13
favor	13
feliz	13
irmãs	13
licença	13
mar	13
minhas	13
muitas	13
nau	13
nova	13
ouvir	13
papel	13
preciso	13
recebeu	13
segundo	13
seis	13
talvez	13
tens	13
tuas	13
?...	12
Estou	12
Sou	12
alguém	12
ar	12
cadáver	12
chegou	12
dama	12
dera	12
desgraçado	12
diabo	12
falta	12
fidalga	12
forças	12
fui	12
levar	12
manhã	12
mirante	12
momento	12
morta	12
moço	12
muita	12
outros	12
pudesse	12
quinze	12
redarguiu	12
sala	12
seio	12
sentença	12
sido	12
sozinha	12
tia	12
vejo	12
voltou	12
Assim	11
Bem	11
Esta	11
Há	11
Olhe	11
Senhora	11
Uma	11
Vamos	11
Vou	11
ai	11
cara	11
caridade	11
chorar	11
cidade	11
coisas	11
criatura	11
deve	11
diante	11
escrivã	11
espera	11
estrada	11
ferido	11
flores	11
for	11
foram	11
importa	11
liberdade	11
magistrado	11
matar	11
matou	11
meirinho	11
má	11
ouvido	11
pelas	11
pensar	11
pistolas	11
quase	11
respeito	11
saudade	11
sorrindo	11
soube	11
tarde	11
tiro	11
trabalhos	11
virtude	11
vulto	11
és	11
último	11
Constança	10
Este	10
Joaquina	10
Lá	10
Quero	10
Tem	10
amigos	10
aquelas	10
assassino	10
buscar	10
casar	10
caso	10
creio	10
dali	10
deixar	10
deixou	10
desde	10
donde	10
dor	10
estudante	10
fala	10
feito	10
felicidade	10
fugir	10
impossível	10
irmão	10
juízo	10
leu	10
liteira	10
longe	10
meia	10
mendiga	10
mesa	10
nesta	10
nosso	10
ordem	10
ouvira	10
peito	10
portas	10
pátria	10
segredo	10
senhoras	10
teria	10
teus	10
triste	10
veio	10
via	10
Índia	10
Ó	10
água	10
ânimo	10
!?	9
Muito	9
Na	9
Quer	9
Queria	9
Quis	9
achou	9
alegria	9
cabo	9
certeza	9
consigo	9
coro	9
correu	9
daquelas	9
defronte	9
depressa	9
desembargador	9
desgraçada	9
distância	9
encontrar	9
fazia	9
ferros	9
ficou	9
filhos	9
fiz	9
geral	9
imagem	9
jornada	9
lugar	9
madre	9
maior	9
morto	9
mulheres	9
naquela	9
naquele	9
nenhuma	9
noites	9
nossos	9
ora	9
passagem	9
paço	9
pediu	9
propósito	9
puder	9
rapaz	9
rua	9
saudades	9
sentou-se	9
sequer	9
sobrinho	9
sorriso	9
sozinho	9
vamos	9
viesse	9
vinho	9
vinte	9
violência	9
vira	9
volta	9
vão	9
Com	8
Enquanto	8
Maria	8
Mosqueira	8
Nada	8
Nem	8
Parece	8
Relação	8
Seu	8
São	8
V	8
Vá	8
além	8
amante	8
amo	8
boca	8
cadeira	8
caiu	8
casamento	8
chorava	8
consciência	8
daí	8
divina	8
dê	8
esperava	8
estalagem	8
esteja	8
ferro	8
fim	8
frente	8
futuro	8
glória	8
grade	8
janelas	8
lhes	8
livre	8
martírio	8
miserável	8
morreu	8
mudança	8
natural	8
necessário	8
novas	8
onze	8
padre	8
parece	8
parentes	8
partir	8
pedra	8
pena	8
perdão	8
piedade	8
poder	8
portaria	8
querer	8
quê	8
receio	8
semblante	8
sepultura	8
silêncio	8
situação	8
sol	8
tenha	8
tirou	8
trabalho	8
trinta	8
vais	8
velha	8
vingança	8
única	8
Aí	7
Diga	7
Exa	7
Neste	7
Nunca	7
Olha	7
Portugal	7
Sim	7
Vai	7
abrir	7
adeus	7
almocreve	7
almoço	7
amar	7
avental	7
bacamarte	7
bons	7
cadeias	7
capitão	7
carcereiro	7
chamado	7
chamou	7
cinco	7
compaixão	7
confiança	7
contar	7
corpo	7
cujo	7
cólera	7
debaixo	7
deixasse	7
demência	7
deviam	7
digo	7
encostado	7
ergueu-se	7
esmola	7
esperando	7
estivesse	7
estás	7
faria	7
fizera	7
força	7
fé	7
gesto	7
gratidão	7
graça	7
gênio	7
havia	7
inimigo	7
intendente	7
jaqueta	7
leis	7
leito	7
lenço	7
ler	7
local	7
longo	7
lábios	7
mano	7
meio	7
meninas	7
mestra	7
morgado	7
morre	7
morro	7
muitos	7
nisso	7
nobre	7
noticia	7
novidade	7
olhe	7
olho	7
paixões	7
partiu	7
patíbulo	7
perigo	7
peço	7
pois	7
pão	7
pés	7
pôr	7
querida	7
quis	7
raio	7
rapidamente	7
razões	7
religiosas	7
respondia	7
retirou-se	7
segunda	7
sete	7
século	7
tinteiro	7
tirar	7
têm	7
umas	7
vossemecê	7
vê	7
ânsia	7
ó	7
Antônio	6
Creio	6
Espanha	6
Estes	6
Faça	6
Josefa	6
Ninguém	6
Porque	6
Pouco	6
Sei	6
Vossa	6
abadessa	6
acudiu	6
agonia	6
aldeia	6
alto	6
ama	6
amada	6
amanhã	6
ambos	6
amizade	6
apesar	6
atrás	6
aurora	6
ausência	6
cair	6
caldo	6
capelão	6
carteira	6
certa	6
cima	6
cinquenta	6
clavina	6
começou	6
conhecia	6
conheço	6
cuidava	6
daqueles	6
degredado	6
deixe	6
desgraçados	6
devo	6
digna	6
dignidade	6
diria	6
disse-me	6
dito	6
encontro	6
espaço	6
esses	6
estavam	6
estes	6
estão	6
excelência	6
falava	6
ferida	6
filhas	6
fio	6
fitos	6
fizesse	6
fogo	6
fossem	6
grades	6
grandes	6
homicida	6
hás	6
hóspede	6
idade	6
igreja	6
iria	6
lha	6
lâmpada	6
mandava	6
março	6
mato	6
memória	6
misericórdia	6
mortos	6
murmurou	6
médico	6
nela	6
nenhum	6
nesse	6
noviças	6
olhar	6
ouro	6
parecia	6
parou	6
passar	6
passou	6
pavimento	6
pede	6
pedindo	6
pessoas	6
podes	6
prisão	6
providência	6
prudência	6
rainha	6
recursos	6
religiosa	6
responder	6
santa	6
saía	6
saída	6
saído	6
tanta	6
tantas	6
tiver	6
tomou	6
tribunal	6
venha	6
ventura	6
vestido	6
viva	6
vizinho	6
vocês	6
vê-la	6
vêm	6
àquela	6
ânsias	6
?!...	5
Adeus	5
Aquela	5
Branco	5
Castelo	5
Correia	5
Deixe-me	5
Desceu	5
Diz	5
Ela	5
Esse	5
Estava	5
I	5
Lamego	5
Logo	5
Mesquita	5
Morreu	5
Nossa	5
Sabe	5
Sua	5
Tanto	5
Universidade	5
abraço	5
academia	5
aceite	5
aceitou	5
afinal	5
alta	5
amargura	5
amava	5
ambas	5
ameaças	5
anda	5
andar	5
andava	5
anjos	5
apaixonada	5
após	5
atirara	5
atroz	5
açoreana	5
beliche	5
boas	5
breve	5
cama	5
caminhou	5
campo	5
capaz	5
carrasco	5
casinha	5
cavalaria	5
cela	5
chamada	5
chegaram	5
chorando	5
chorou	5
cismar	5
ciúmes	5
coberto	5
colega	5
comer	5
conhece	5
contente	5
contigo	5
convés	5
cor	5
coragem	5
corações	5
corte	5
crer	5
culpa	5
câmara	5
d	5
dado	5
dando-lhe	5
darei	5
dedos	5
defesa	5
dei	5
deixa	5
deram	5
desterro	5
disso	5
dores	5
embrulho	5
encontrou	5
enfado	5
escrevia	5
esposo	5
estrelas	5
fazem	5
febre	5
filosofia	5
final	5
forte	5
freiras	5
fronte	5
fronteira	5
fugiu	5
garganta	5
general	5
golpe	5
houve	5
humana	5
iam	5
indigna	5
indo	5
infame	5
inferno	5
infortúnio	5
lançou-se	5
leitor	5
leve	5
liteiras	5
livros	5
locutório	5
longa	5
meter	5
milagre	5
milhões	5
momentos	5
movimento	5
muro	5
médicos	5
mês	5
natureza	5
nobreza	5
nossas	5
noutro	5
novo	5
ontem	5
opinião	5
ordens	5
organista	5
ouvia	5
paciência	5
pagar	5
papéis	5
parede	5
paredes	5
passado	5
passados	5
patife	5
pensava	5
perder	5
perguntas	5
plano	5
polícia	5
possível	5
pouca	5
prazer	5
presente	5
primas	5
primeiras	5
primos	5
procurar	5
prosseguiu	5
pátio	5
quais	5
quanto	5
queira	5
remédio	5
rica	5
romper	5
sabem	5
sabes	5
sacrifício	5
sai	5
sendo	5
sentada	5
sentir	5
serem	5
servir	5
severidade	5
sombra	5
sonhos	5
sorte	5
soubesse	5
sucessos	5
suspeita	5
suspeitas	5
temos	5
tempos	5
tenção	5
vaidade	5
vergonha	5
verás	5
viam	5
vista	5
visto	5
vive	5
ódio	5
últimas	5
últimos	5
1805	4
Algumas	4
Amanhã	4
Caldeirão	4
Cascais	4
Chegou	4
Cuidei	4
Da	4
Desde	4
Diga-lhe	4
Disse	4
Dizia	4
